"FileName","Path","ApplicationName","Publisher","Hash","HashAlgorithm","Status"
"7z.exe","C:\Program Files\7-Zip\7z.exe","7-Zip","Igor Pavlov","634D38C0C414178E2F35DE5CC0FB29AA082EEC227E630C4481E1AF7694980AC9","SHA256","Processed"
"7zFM.exe","C:\Program Files\7-Zip\7zFM.exe","7-Zip","Igor Pavlov","2E030AA5CDF7C562C0ACC516E43265D031EC41F448F972D2C3882E9208AA3EB8","SHA256","Processed"
"7zG.exe","C:\Program Files\7-Zip\7zG.exe","7-Zip","Igor Pavlov","7B5EDA73C21960C451EA3148900B28CDBAC7180E43047FBC944028096E497C08","SHA256","Processed"
"Acrobat.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe","Adobe Acrobat","Adobe Systems Incorporated","0AB552C651C74869113317DCF78FA9DE6A1D6A5313ACE7B434E130EE954D928C","SHA256","Processed"
"AcrobatInfo.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcrobatInfo.exe","Adobe Acrobat","Adobe Systems Incorporated","84D3EF076CE5372263CD019F7566894E38547743035B1A5BC282805E5C574BA5","SHA256","Processed"
"acrobat_sl.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrobat_sl.exe","Adobe Acrobat","Adobe Systems Incorporated","AB727EDAE31FB5223C788B9C2DEBD8AA7687C530A1F66B3BFC2DCA91A603C934","SHA256","Processed"
"AcroBroker.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroBroker.exe","Adobe PDF Broker Process for Internet Explorer","Adobe Systems Incorporated","A0657B6CC937534D9DDA18DE95E41A108F6030D63FF3AA105B2FA78C8AAC6AF3","SHA256","Processed"
"acrodist.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrodist.exe","Acrobat  Distiller for Windows","Adobe Systems Incorporated.","AA2BDE5F737D27B16B2C54FA945541F21CB2CE7F71A95B73F83DB652AB8537DE","SHA256","Processed"
"AcroShareTarget.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroShareTarget.exe","Adobe Acrobat Share Target","Adobe Inc.","F8E5F96F5D1A4AF50EE6A35ECF9D629E1694D8397D681A7D1EB7683C2A3A653C","SHA256","Processed"
"AcroTextExtractor.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroTextExtractor.exe","Adobe Acrobat text extractor for non-PDF files","Adobe Systems Incorporated","8630D7D65AE4223862156EE7F5146FAD18ED1516A18BEBE416E7FFEFB69FB78D","SHA256","Processed"
"acrotray.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrotray.exe","AcroTray - Adobe Acrobat Distiller helper application.","Adobe Systems Inc.","20EFB1CDC8D5CB77AC603B30032B3A205B5B1EF10DC97153BC07BC34AFD089E0","SHA256","Processed"
"ADelRCP.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\ADelRCP.exe"," ADelRCP Dynamic Link Library","Adobe Systems, Inc.","F833869607B254248C88EDE2B93851C2FB2CBB1789397CEA1C28E0A2B85EB8C8","SHA256","Processed"
"ADNotificationManager.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\ADNotificationManager.exe","Adobe Acrobat","Adobe","A13AFF4DB8D5C42DD5294CE03F3635D307D59F07DECCA6FB64C37002EC81251C","SHA256","Processed"
"Adobe Crash Processor.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\Adobe Crash Processor.exe","Adobe Crash Processor","Adobe Inc.","D466786953C7789AD6ABFCCF361E04B992A4A1ED9F7320ED2D792A60BD6191E8","SHA256","Processed"
"AdobeCollabSync.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","Acrobat Collaboration Synchronizer 25.1","Adobe Systems Incorporated","AD64A45C2DE9256F8164CE3DBAE613F18575DB6542F706FBCDB55C21E160EE25","SHA256","Processed"
"CRLogTransport.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\CRLogTransport.exe","CRLogTransport Application","Adobe Inc.","2FF665C9E4657889EF07917A52F09B5F148A9EDEF728EED8499825CA23368D84","SHA256","Processed"
"CRWindowsClientService.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\CRWindowsClientService.exe","Adobe Crash Reporter Service","Adobe Inc.","B151BBB967C3109D021AA38B88A81C54367A645807EBCE4DA5F552D8AE5DDBDF","SHA256","Processed"
"Eula.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\Eula.exe","EULA","Adobe Systems Incorporated","45E7C759EA5927D3AFDAD732EA7CB41E687E314699E40D23970B63B4304CC2D9","SHA256","Processed"
"LogTransport2.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\LogTransport2.exe"," LogTransport Application","Adobe Systems Incorporated","A36EF4C18A08EE8D8C0D10D96AB37A0C3CE22A8F328733AF8C0451579E4EDCB1","SHA256","Processed"
"ShowAppPickerForPDF.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\ShowAppPickerForPDF.exe","ShowAppPickerForPDF","","4160E72DA955530FB8589A2393D52007077839E4C6706BEC36673D58CE4A8410","SHA256","Processed"
"AcroCEF.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroCEF\AcroCEF.exe","Adobe AcroCEF","Adobe Systems Incorporated","7A6AEB7B409B31DE73FF67BC3FA3429CC73B733A57117C6C4030BFDA5B4FE4BF","SHA256","Processed"
"AcroServicesUpdater.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroCEF\AcroServicesUpdater.exe","Adobe WebInstaller 25.1","Adobe Systems Incorporated","D68C02CD6B12CD800E871A4E8D62F0782A1549BE41A72676BDE03BC13FDEB630","SHA256","Processed"
"SingleClientServicesUpdater.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\AcroCEF\SingleClientServicesUpdater.exe","Adobe WebInstaller 25.1","Adobe Systems Incorporated","64457962754D19170DFB4D4866425C316807CCF2F45784F44AD65C7907230592","SHA256","Processed"
"AcroCEF.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroCEF.exe","Adobe AcroCEF","Adobe Systems Incorporated","7A6AEB7B409B31DE73FF67BC3FA3429CC73B733A57117C6C4030BFDA5B4FE4BF","SHA256","Processed"
"AcroServicesUpdater.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\AcroServicesUpdater.exe","Adobe WebInstaller 25.1","Adobe Systems Incorporated","D68C02CD6B12CD800E871A4E8D62F0782A1549BE41A72676BDE03BC13FDEB630","SHA256","Processed"
"SingleClientServicesUpdater.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1\SingleClientServicesUpdater.exe","Adobe WebInstaller 25.1","Adobe Systems Incorporated","64457962754D19170DFB4D4866425C316807CCF2F45784F44AD65C7907230592","SHA256","Processed"
"FullTrustNotifier.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\ADCNotificationClient\FullTrustNotifier.exe","FullTrustNotifier","","168FAB3C871E7403B1CE6AA64C9A8F023DE20AC928FF44A2DB37C0747E9DD144","SHA256","Processed"
"AcroShareTarget.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\Assets\MenuCoreApp\AcroShareTarget.exe","Adobe Acrobat Share Target","Adobe Inc.","F8E5F96F5D1A4AF50EE6A35ECF9D629E1694D8397D681A7D1EB7683C2A3A653C","SHA256","Processed"
"WCChromeNativeMessagingHost.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\Browser\WCChromeExtn\WCChromeNativeMessagingHost.exe","Adobe Create PDF","Adobe Systems Inc.","BA12B63EF2A0C6B7D6D5C382539FC10AC3016012BE9A0B7A4ED191E31042F1C2","SHA256","Processed"
"Adobe_Acrobat_Diagnostics.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\Diagnostics\Adobe_Acrobat_Diagnostics.exe","Adobe Acrobat Diagnostics","","0C9B7BA1F3B4C307C88533ED760FFE5E8D44A252A42AB0A70476497EFCEF75A8","SHA256","Processed"
"adobe_licensing_wf_acro.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\NGL\cefWorkflow\adobe_licensing_wf_acro.exe","Adobe Licensing WF","Adobe Inc.","DFE2196B65B511C1BE709D705825603D40508BA6E918B8060C191773BBDEC837","SHA256","Processed"
"adobe_licensing_wf_helper_acro.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\NGL\cefWorkflow\adobe_licensing_wf_helper_acro.exe","Adobe Licensing WF Helper","Adobe Inc.","9D138022DC64CF65FFCE81928C7B76DB61F8F047294578BD3E365B05A8A35F77","SHA256","Processed"
"AdobeFips.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\OSSLLibs\AdobeFips.exe","The OpenSSL Toolkit","The OpenSSL Project, https://www.openssl.org/","C5004A469EDCEB93B4D1E6285E4A335B88411E3BCB5FB499FC6226F538A87618","SHA256","Processed"
"32BitMAPIBroker.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\plug_ins\pi_brokers\32BitMAPIBroker.exe","Adobe Acrobat 32BitMAPIBroker","Adobe Systems Incorporated","5B164A9A85807B0F948137AA56937ABA05FD88741367077C252C0B2D5EA04F86","SHA256","Processed"
"64BitMAPIBroker.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\plug_ins\pi_brokers\64BitMAPIBroker.exe","Adobe Acrobat 64BitMAPIBroker","Adobe Systems Incorporated","E81DBBCB3B69580ED555EA47F6535F4F74E502000EF057D1DF86376DF621E6C5","SHA256","Processed"
"MSRMSPIBroker.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\plug_ins\pi_brokers\MSRMSPIBroker.exe","MSRMSPIBroker","","AE8F8DFCDCE3D0D6E5E26C4FA2A27D7A938A788B04C303DCA22CF38CBD48E8CC","SHA256","Processed"
"AcroScanBroker.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\plug_ins\Scan\AcroScanBroker.exe","Adobe Acrobat","Adobe Systems Incorporated","09D9C6A4D4C63F8D4B85D5D48863BE27F4FC61D4E6D13D76B1DC2D23BD29152E","SHA256","Processed"
"FullTrustNotifier.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\RDCNotificationClient\FullTrustNotifier.exe","FullTrustNotifier","","F72AE9E2704E97D9C31B3128003296AE46B20ACDDA49BF2E85D5B6799085BB4F","SHA256","Processed"
"CreatePDFPrinterUtility64.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\x64\CreatePDFPrinterUtility64.exe"," CreatePDFPrinterUtility","Adobe Inc.","1AE95F620695527AFD037444A3450AC0B7C4F8A14960D56ADAF93EB2DC404373","SHA256","Processed"
"Acrobat.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\x86\Acrobat\Acrobat.exe","Adobe Acrobat","Adobe Systems Incorporated","0D8E26F1514354BE886792723D8982902C64F3FAFB09ED78B39B1E9130B219D6","SHA256","Processed"
"PrintInf64.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat\Xtras\AdobePDF\PrintInf64.exe","PrintINF Application","","92C08120F5031BB61ED86275B9627D336138EEBB28199EB6FD90428AA1B9C367","SHA256","Processed"
"Acrobat Elements.exe","C:\Program Files\Adobe\Acrobat DC\Acrobat Elements\Acrobat Elements.exe","Adobe Acrobat Elements","Adobe Systems Inc.","A1564FAAE691FD97A403BE8A0B3B8A621E286CC3BF4B8C6A4E113B303B6DA6D5","SHA256","Processed"
"HTML2PDFWrapFor64Bit.exe","C:\Program Files\Adobe\Acrobat DC\PDFMaker\Office\HTML2PDFWrapFor64Bit.exe","HTML2PDFWrapFor64Bit Module","Adobe Systems Incorporated","7D445B7333B17C04731C817C4B5A2FCC38FD4F6A37412715D12D348CD66B6FB2","SHA256","Processed"
"azuredatastudio.exe","C:\Program Files\Azure Data Studio\azuredatastudio.exe","Azure Data Studio","Microsoft Corporation","4CC7709AF5F1CEEF2BA311DA601899ACEBCD8A2AC89396E1794C89A81519D9EC","SHA256","Processed"
"unins000.exe","C:\Program Files\Azure Data Studio\unins000.exe","Azure Data Studio                                           ","Microsoft Corporation                                       ","FD5ED03B3A5FA520F2BC86318A8B0D62E39C9F0D0CA3B3C50A961084FE9242CE","SHA256","Processed"
"createdump.exe","C:\Program Files\Azure Data Studio\resources\app\extensions\mssql\sqltoolsservice\Windows\5.0.20250115.1\createdump.exe","Microsoft? .NET","Microsoft Corporation","225A42EDB23D5758AC14D2F416BD9FA6208B52C783DB81033C66B34169552FEA","SHA256","Processed"
"MicrosoftKustoServiceLayer.exe","C:\Program Files\Azure Data Studio\resources\app\extensions\mssql\sqltoolsservice\Windows\5.0.20250115.1\MicrosoftKustoServiceLayer.exe","Microsoft Sql Tools","Microsoft","029955C0D14DC953D810AFD83D250D56E73BAFDE9F82E3D1E975F6CEE1E54063","SHA256","Processed"
